iter	Passed	Remaining
415	3019	4238
416	3021	4223
417	3023	4209
418	3025	4195
419	3027	4181
420	3030	4167
421	3031	4152
422	3033	4138
423	3035	4124
424	3038	4111
425	3041	4098
426	3078	4130
427	3080	4116
428	3081	4102
429	3084	4088
430	3086	4074
431	3088	4061
432	3090	4047
433	3093	4034
434	3095	4021
435	3097	4007
436	3100	3994
437	3102	3981
438	3104	3967
439	3106	3954
440	3109	3940
441	3111	3927
442	3113	3914
443	3115	3901
444	3117	3888
445	3119	3875
446	3121	3862
447	3124	3849
448	3126	3836
449	3175	3880
450	3177	3867
451	3178	3854
452	3180	3840
453	3183	3828
454	3185	3815
455	3187	3802
456	3189	3789
457	3191	3776
458	3193	3763
459	3195	3750
460	3196	3737
461	3198	3725
462	3200	3712
463	3202	3699
464	3204	3686
465	3206	3674
466	3208	3661
467	3210	3649
468	3211	3636
469	3213	3624
470	3215	3611
471	3217	3599
472	3220	3588
473	3223	3577
474	3226	3565
475	3228	3554
476	3230	3542
477	3233	3530
478	3235	3518
479	3237	3506
480	3239	3495
481	3241	3483
482	3243	3471
483	3245	3460
484	3247	3448
485	3249	3436
486	3251	3425
487	3254	3414
488	3256	3402
489	3258	3391
490	3260	3380
491	3263	3369
492	3265	3358
493	3267	3347
494	3270	3336
495	3273	3326
496	3277	3317
497	3322	3349
498	3325	3338
499	3327	3327
500	3329	3316
501	3332	3305
502	3335	3295
503	3337	3284
504	3340	3273
505	3342	3262
506	3344	3251
507	3346	3241
508	3348	3229
509	3350	3219
510	3352	3208
511	3354	3197
512	3357	3187
513	3359	3176
514	3361	3166
515	3363	3155
516	3366	3144
517	3368	3134
518	3373	3126
519	3375	3116
520	3377	3105
521	3380	3095
522	3417	3117
523	3419	3106
524	3421	3095
525	3423	3085
526	3425	3074
527	3427	3064
528	3429	3053
529	3432	3043
530	3434	3033
531	3436	3022
532	3438	3012
533	3440	3001
534	3442	2991
535	3444	2981
536	3446	2971
537	3448	2961
538	3450	2950
539	3452	2940
540	3454	2930
541	3456	2920
542	3458	2910
543	3460	2900
544	3462	2890
545	3514	2922
546	3516	2912
547	3518	2902
548	3520	2892
549	3522	2881
550	3524	2871
551	3525	2861
552	3527	2851
553	3529	2841
554	3531	2831
555	3533	2821
556	3535	2811
557	3537	2801
558	3538	2791
559	3540	2782
560	3542	2772
561	3544	2762
562	3546	2752
563	3548	2743
564	3550	2733
565	3552	2723
566	3554	2714
567	3556	2705
568	3558	2695
569	3562	2687
570	3610	2712
571	3612	2703
572	3614	2693
573	3616	2683
574	3617	2673
575	3619	2664
576	3621	2654
577	3622	2645
578	3624	2635
579	3626	2626
580	3627	2616
581	3629	2607
582	3631	2597
583	3633	2587
584	3634	2578
585	3636	2569
586	3638	2560
587	3640	2550
588	3642	2541
589	3644	2532
590	3645	2522
591	3647	2513
592	3649	2504
593	3650	2495
594	3652	2486
595	3654	2477
596	3657	2468
597	3706	2491
598	3708	2482
599	3710	2473
600	3712	2464
601	3713	2455
602	3715	2446
603	3717	2437
604	3719	2428
605	3721	2419
606	3723	2410
607	3725	2401
608	3726	2392
609	3728	2383
610	3730	2375
611	3732	2366
612	3734	2357
613	3736	2349
614	3738	2340
615	3740	2331
616	3742	2323
617	3744	2314
618	3746	2306
619	3748	2297
620	3750	2288
621	3752	2280
622	3754	2271
623	3803	2291
624	3805	2283
625	3807	2274
626	3809	2266
627	3810	2257
628	3813	2249
629	3815	2240
630	3817	2232
631	3819	2224
632	3821	2215
633	3823	2207
634	3825	2199
635	3827	2190
636	3829	2182
637	3831	2174
638	3833	2165
639	3836	2157
640	3838	2149
641	3840	2141
642	3842	2133
643	3844	2125
644	3846	2116
645	3848	2108
646	3851	2101
647	3900	2118
648	3902	2110
649	3904	2102
650	3906	2094
651	3908	2086
652	3910	2078
653	3912	2070
654	3914	2061
655	3916	2053
656	3918	2045
657	3920	2037
658	3922	2029
659	3924	2021
660	3926	2013
661	3928	2005
662	3930	1997
663	3932	1989
664	3933	1981
665	3936	1974
666	3938	1966
667	3940	1958
668	3941	1950
669	3943	1942
670	3945	1934
671	3947	1926
672	3993	1940
673	3995	1932
674	3997	1924
675	3999	1916
676	4001	1909
677	4003	1901
678	4005	1893
679	4007	1885
680	4009	1878
681	4011	1870
682	4014	1863
683	4015	1855
684	4017	1847
685	4019	1839
686	4022	1832
687	4025	1825
688	4027	1818
689	4029	1810
690	4031	1802
691	4034	1795
692	4036	1788
693	4038	1780
694	4040	1773
695	4042	1765
696	4045	1758
697	4047	1751
698	4051	1744
699	4054	1737
700	4090	1744
701	4092	1737
702	4095	1730
703	4097	1722
704	4099	1715
705	4101	1707
706	4103	1700
707	4105	1693
708	4108	1686
709	4110	1678
710	4112	1671
711	4114	1664
712	4116	1657
713	4118	1649
714	4120	1642
715	4123	1635
716	4125	1628
717	4127	1621
718	4129	1613
719	4131	1606
720	4133	1599
721	4135	1592
722	4137	1585
723	4144	1580
724	4146	1572
725	4149	1565
726	4190	1573
727	4193	1566
728	4195	1559
