iter	RMSE
210	542.462981
211	542.3690198
212	542.2503404
213	542.1694485
214	541.9995123
215	541.8920699
216	541.7532426
217	541.4948553
218	541.3762948
219	541.1635434
220	541.0528098
221	540.9583934
222	540.8548579
223	540.8168033
224	540.7930064
225	540.5981601
226	540.4898283
227	540.0730016
228	539.9094047
229	539.6922446
230	539.6257633
231	539.4557533
232	539.3178426
233	539.2443303
234	539.1204827
235	538.8756477
236	538.7817085
237	538.5964484
238	538.3885182
239	538.3036793
240	537.9349948
241	537.7398195
242	537.5807183
243	537.4710401
244	537.4521024
245	537.2764024
246	537.2420449
247	537.0454346
248	537.0042941
249	536.7729391
250	536.5449406
251	536.5147394
252	536.3454221
253	536.1950885
254	536.0808218
255	535.8774684
256	535.7391336
257	535.6762655
258	535.4260554
259	535.3151529
260	535.1445889
261	535.0810414
262	534.9525653
263	534.9353828
264	534.7249297
265	534.7085576
266	534.5691327
267	534.4740408
268	534.4340288
269	534.3338829
270	534.2849689
271	534.2699235
272	534.2069995
273	534.1803539
274	533.9982155
275	533.8530636
276	533.7269059
277	533.5260981
278	533.4147398
279	533.2334159
280	533.0835582
281	533.0066696
282	532.8440926
283	532.6946489
284	532.6496622
285	532.538272
286	532.3652841
287	532.2438365
288	532.1831936
289	531.8490781
290	531.6425847
291	531.5508824
292	531.508229
293	531.4038817
294	531.3259241
295	531.2871171
296	531.2381197
297	531.2027801
298	531.1910741
299	531.0803638
300	530.9812757
301	530.9376961
302	530.7488476
303	530.7168855
304	530.5796791
305	530.3239556
306	530.2270907
307	530.18155
308	530.0461813
309	529.9167044
310	529.8416739
311	529.7441325
312	529.7165556
313	529.5548771
314	529.3896209
315	529.379139
316	529.1838391
317	529.068538
318	529.036033
319	529.0023282
320	528.8744011
321	528.8247749
322	528.7095022
323	528.5949909
324	528.4446676
325	528.3254944
326	528.2805621
327	528.2697295
328	528.1020528
329	527.957485
330	527.8214527
331	527.7078238
332	527.6794081
333	527.542587
334	527.4515721
335	527.3249108
336	527.2790896
337	527.1779531
338	527.0258262
339	526.9408224
340	526.8399304
341	526.7155442
342	526.574374
343	526.4229479
344	526.3186806
345	526.2102309
346	526.0923192
347	526.02162
348	525.8369483
349	525.7311278
350	525.6235027
351	525.5935549
352	525.5186314
353	525.334074
354	525.3172381
355	525.3134976
356	525.2616334
357	524.9854612
358	524.8532836
359	524.7338278
360	524.6591153
361	524.6072952
362	524.4254415
363	524.353802
364	524.2607267
365	524.121963
366	524.0564499
367	523.8975547
368	523.8125555
369	523.7440957
370	523.7380127
371	523.5773849
372	523.4959584
373	523.3906135
374	523.2176368
375	523.1301416
376	522.9731148
377	522.8132605
378	522.705527
379	522.5852616
380	522.4520359
381	522.3531416
382	522.2875313
383	522.2822474
384	522.2307118
385	522.122095
386	521.9534267
387	521.923361
388	521.8362701
389	521.6739413
390	521.5601021
391	521.442559
392	521.4332916
393	521.4121491
394	521.4067104
395	521.3937292
396	521.2027706
397	521.0191925
398	520.8766876
399	520.6632285
400	520.5635346
401	520.3977611
402	520.2744664
403	520.140749
404	520.1326214
405	520.0082411
406	519.9220224
407	519.7958432
408	519.7617788
409	519.7026791
410	519.6887182
411	519.6020333
412	519.5453991
413	519.4496278
414	519.3080449
415	519.3042019
416	519.134922
417	518.9137941
418	518.7922962
419	518.7041953
420	518.5041145
421	518.3425771
422	518.2435508
423	518.1489164
424	518.0512599
425	517.9578246
426	517.8649038
427	517.8250854
428	517.8049622
429	517.6511822
430	517.6050489
431	517.4903973
432	517.4879411
433	517.3171923
434	517.2345553
435	517.2264456
436	517.1678181
437	517.0106684
438	516.8600017
439	516.723342
440	516.541002
441	516.395122
442	516.3332164
443	516.2706875
444	516.1630543
445	516.0711983
446	515.9624809
447	515.887496
448	515.8491118
449	515.6951208
450	515.5542808
451	515.5168957
452	515.4553359
453	515.2297284
454	515.0742555
455	514.9303549
456	514.6786725
457	514.5349927
458	514.401509
459	514.3246158
460	514.2521283
461	514.1670068
462	514.0720736
463	513.9548932
464	513.8126599
465	513.6935954
466	513.5433411
467	513.4146893
468	513.2163861
469	513.1595235
470	512.9795691
471	512.8681413
472	512.7616694
473	512.6359084
474	512.5217262
475	512.4101233
476	512.2993202
477	512.1555361
478	512.0606077
479	511.9153107
480	511.8407863
481	511.7418478
482	511.6000728
483	511.5007232
484	511.4713873
485	511.3593653
486	511.229527
487	511.1960829
488	511.1454565
489	511.0180443
490	510.9314026
491	510.8198755
492	510.7419331
493	510.672741
494	510.5490268
495	510.4154212
496	510.241874
497	510.0691363
498	509.9178755
499	509.784948
500	509.7148355
501	509.6221431
502	509.4871066
503	509.330929
504	509.2796173
505	509.2760332
506	509.0754021
507	508.9814709
508	508.978426
509	508.920441
510	508.8646143
511	508.7861387
512	508.6337256
513	508.4953352
514	508.3610953
515	508.2245804
516	508.1860852
517	508.0535318
518	507.9688414
519	507.8282347
520	507.682745
521	507.6809237
522	507.6789101
523	507.6766739
524	507.5496468
525	507.440043
526	507.2723037
527	507.173389
528	507.0938484
529	506.9817637
530	506.9708124
531	506.8561456
532	506.7176803
533	506.6158223
534	506.4887019
535	506.3841
536	506.2083049
537	506.133027
538	505.9854877
539	505.8711624
540	505.8356042
541	505.7510751
542	505.6184407
543	505.5083273
544	505.4567333
545	505.368649
546	505.3091749
547	505.2537555
548	505.1517896
549	505.1486752
550	505.0450344
551	504.9548139
552	504.8206776
553	504.7885644
554	504.6744887
555	504.5386033
556	504.5364818
557	504.4669171
558	504.4111164
559	504.2872961
560	504.1786249
561	504.1215742
562	504.0585755
563	503.9430143
564	503.8795004
565	503.7780384
566	503.6552743
567	503.5393852
568	503.5375049
569	503.4287211
570	503.3613463
571	503.2457679
572	503.2439718
573	503.1372248
574	502.9993593
575	502.876814
576	502.7792878
577	502.6898491
578	502.6488692
579	502.5550867
580	502.2936018
581	502.2442177
582	502.130809
583	502.0341241
584	501.8982943
585	501.7607582
586	501.7591849
587	501.6753788
588	501.5577482
589	501.4695889
590	501.3221803
591	501.2503399
592	501.2249138
593	501.1021546
594	501.0400081
595	500.9074817
596	500.7852338
597	500.72523
598	500.6757186
599	500.6254974
600	500.5595243
601	500.4251805
602	500.3371401
603	500.2080921
604	500.1356523
605	500.0332137
606	500.0315118
607	499.9002907
608	499.8070365
609	499.7245975
610	499.6099337
611	499.5222664
612	499.4252585
613	499.3436627
614	499.3079256
615	499.2795087
616	499.2495544
617	499.1693833
618	498.9311471
619	498.83154
620	498.7429331
621	498.5773101
622	498.4817891
623	498.3791789
624	498.2938771
625	498.2074406
626	498.1313011
627	498.0192002
628	497.9293122
629	497.871422
630	497.7359712
631	497.6595387
632	497.4394382
633	497.3141829
634	497.2663419
635	497.1516826
636	497.1503097
637	497.0698622
638	496.9831421
639	496.9034118
640	496.8095123
641	496.7233554
642	496.6376474
643	496.5017746
644	496.4463856
645	496.3678109
646	496.3290664
647	496.2464121
648	496.1848043
649	496.0962013
650	495.9707408
651	495.8991103
652	495.8549614
653	495.7452272
654	495.6303231
655	495.5546221
656	495.4456223
657	495.3539164
658	495.2341093
659	495.0652617
660	494.918476
661	494.8497519
662	494.7722012
663	494.6886973
664	494.6231044
665	494.5689021
666	494.4836812
667	494.4245967
668	494.3603005
669	494.3223795
670	494.2438915
671	494.1437105
672	494.0584582
673	493.9359384
674	493.8302109
675	493.7365963
676	493.6099273
677	493.4422425
678	493.4065965
679	493.3495383
680	493.3156855
681	493.2752182
682	493.1936221
683	493.1116978
684	493.0373313
685	492.9979818
686	492.8725399
687	492.7703978
688	492.6677781
689	492.6046905
690	492.5689462
691	492.4298434
692	492.3880965
693	492.3284933
694	492.2599266
695	492.2015391
696	492.0714974
697	492.002317
698	491.8776823
699	491.838426
700	491.7593593
701	491.7181821
702	491.6806183
703	491.6467415
704	491.5500512
705	491.5043195
706	491.4693973
707	491.4199425
708	491.2936767
709	491.1685929
710	491.1354599
711	491.060405
712	490.9872169
713	490.9204195
714	490.7902379
715	490.7080353
716	490.5651886
717	490.5376215
718	490.4813651
719	490.4445851
720	490.4205905
721	490.3564673
722	490.3182102
723	490.2476778
724	490.1962544
725	490.1540953
726	490.0608226
727	490.0403545
728	490.0042057
729	489.9023109
730	489.8052153
731	489.7233828
732	489.689229
733	489.6269211
734	489.5215709
735	489.4411289
736	489.433562
737	489.3442079
738	489.2550657
739	489.1537072
740	489.082365
741	488.9275952
742	488.8391648
743	488.7827605
744	488.6278153
745	488.5459314
746	488.4752002
747	488.4736382
748	488.3680824
749	488.3057332
750	488.2001013
751	488.1034927
752	488.0624017
753	487.9474033
754	487.8839365
755	487.8466278
756	487.7761933
757	487.6048881
758	487.5287331
759	487.5200645
760	487.5188935
761	487.4363911
762	487.3688008
763	487.2921008
764	487.2244092
765	487.1175685
766	487.082137
767	487.046001
768	486.9743367
769	486.9089416
770	486.8307357
771	486.8290745
772	486.7127621
773	486.6339384
774	486.550214
775	486.4974421
776	486.4511323
777	486.3460492
778	486.2843396
779	486.1739268
780	486.081069
781	485.9014068
782	485.8244852
783	485.7379091
784	485.6690409
785	485.5846962
786	485.4519343
787	485.4214624
788	485.3216621
789	485.2564912
790	485.1511274
791	485.1496994
792	485.0220678
793	484.9623781
794	484.8808626
795	484.8212786
796	484.7593975
797	484.6938277
798	484.5937507
799	484.5361939
800	484.4529206
801	484.3503983
802	484.232413
803	484.156762
804	484.0900932
805	484.0336697
806	483.9492243
807	483.8578352
808	483.6971064
809	483.6217455
810	483.5558584
811	483.483654
812	483.3671895
813	483.3264179
814	483.2165347
815	483.1051002
816	483.0343221
817	482.9719566
818	482.9609152
819	482.8644037
820	482.7730232
821	482.69093
822	482.6038865
823	482.4831937
824	482.3810767
825	482.2951459
826	482.293898
827	482.2650397
828	482.2633595
829	482.1591759
830	482.063595
831	481.9968899
832	481.9371593
833	481.8471632
834	481.7876763
835	481.7312284
836	481.6555843
837	481.5557473
838	481.4645743
839	481.4103448
840	481.3303644
841	481.2037526
842	481.0808482
843	481.0137612
844	480.9212365
845	480.8689661
846	480.8184603
847	480.7922436
848	480.6343137
849	480.5529574
850	480.4797232
851	480.3347648
852	480.2243044
853	480.1876924
854	480.0871127
855	479.9979519
856	479.9159323
857	479.8481723
858	479.7324653
859	479.6693918
860	479.6596734
861	479.581263
862	479.498433
863	479.4443293
864	479.399178
865	479.2639298
866	479.180491
867	479.1335174
868	479.0595131
869	479.0141575
870	478.8973978
871	478.8516851
872	478.7848301
873	478.6789414
874	478.6449508
875	478.5811164
876	478.575018
877	478.4981092
878	478.3788975
879	478.3316208
880	478.2576158
881	478.1108959
882	478.0370462
883	477.9385478
884	477.8908802
885	477.7582508
886	477.6553088
887	477.5879314
888	477.5186078
889	477.4504099
890	477.4367971
891	477.3620277
892	477.306032
893	477.2191695
894	477.1638456
895	477.0572697
896	477.039642
897	476.9338879
898	476.853472
899	476.8523409
900	476.8041946
901	476.7214778
902	476.5945996
903	476.5091196
904	476.453782
905	476.325624
906	476.2490019
907	476.2446086
908	476.2374894
909	476.2267227
910	476.1478201
911	476.1043977
912	475.935425
913	475.8118601
914	475.768518
915	475.7421195
916	475.7090787
917	475.65837
918	475.6571379
919	475.5062013
920	475.4602165
921	475.3543297
922	475.263869
923	475.127161
924	475.0702863
925	474.9981204
926	474.9185881
927	474.9039396
928	474.864824
929	474.8639354
930	474.7782979
931	474.706757
932	474.7058622
933	474.665663
934	474.6592535
935	474.6133603
936	474.5616131
937	474.4771429
938	474.4674006
939	474.3531066
940	474.2849159
941	474.2845432
942	474.1694646
943	474.1686197
944	474.0584133
945	474.0276789
946	474.0269927
947	473.9792832
948	473.9407698
949	473.9054419
950	473.8634771
951	473.7640047
952	473.659912
953	473.5856698
954	473.5302242
955	473.4372047
956	473.4103122
957	473.4093249
958	473.3227955
959	473.2283287
960	473.1419267
961	473.0977954
962	473.0229402
963	472.9865843
964	472.9154655
965	472.8732184
966	472.6978305
967	472.6432832
968	472.6011577
969	472.5604548
970	472.5180253
971	472.446902
972	472.3766371
973	472.3017635
974	472.2501675
975	472.210455
976	472.1074834
977	472.045032
978	471.9705062
979	471.9016657
980	471.8398145
981	471.7620504
982	471.6496663
983	471.6261747
984	471.5677194
985	471.4960096
986	471.4458266
987	471.4451318
988	471.4039259
989	471.3095453
990	471.2363266
991	471.1761641
992	471.1756975
993	471.1467196
994	471.1114827
995	471.0621183
996	470.9532252
997	470.9151819
998	470.7868704
999	470.6974806
